video_id,title,uploader,channel_id,video_url,duration_sec,view_count,upload_date
x3bYyTO9t0Y,Dil Bilei Meow Meow | Official Music Video | New Odia Song | Pamela Jain | Kuldeep | Nikita | Ankit,Amara Muzik Odia,UC1EuA9aHCO81CRoJiAW5L2A,https://www.youtube.com/watch?v=x3bYyTO9t0Y,219.0,1971834.0,
Qw6cyRwJ9fI,Mo Jaga Kalia - ମୋ ଜଗା କାଳିଆ -Odia Devotional Song - Sourav Bharadwaj - Matruprasad Rath - Rathyatra,RK FILMS,UCuRHE-rNSAANjxu60K0nGcQ,https://www.youtube.com/watch?v=Qw6cyRwJ9fI,305.0,66274797.0,
rXr_u5BDbDM,kendara bala odia bhajan status video ⭕❗⭕ odia Jagannath bhajan video,Sree khetra toka,UCZqBcTislwwa5MXL0OHt26Q,https://www.youtube.com/shorts/rXr_u5BDbDM,9.0,2415609.0,
cLiP4VkZZgM,Japa hara hara | bol bom song | New Odia Shiv Bhajan | Maha shivaratri 2025 #shivarti #trending,Gyan Sagar Live,UCcceOHutOsTxV9rQ1ndq0gg,https://www.youtube.com/shorts/cLiP4VkZZgM,16.0,171958.0,
vQN_0Fwh3QU,🙏😍Happy Rathyatra | Jai jagannath | Art by Sinu #odia #shorts,Art by Sinu (from Odisha),UC2Zifb5bZqHIi_sn5qCe3oQ,https://www.youtube.com/shorts/vQN_0Fwh3QU,39.0,1344270.0,
eEx-utb_0eY,Suna jhulanare jhuluchhi dekha lo kahnei#odia krishna vajana ⭕‼️⭕🙏#yt short reel#status..,Sweety Dance & Laughs,UCH-nNpc63g-MYrZy2HMvx2g,https://www.youtube.com/shorts/eEx-utb_0eY,48.0,10708.0,
QxXi0cEU5J0,Super Hit Odia Album Odia Top -6 Song Best Odia Music Calesone,SB PRODUCTIONS,UC56PbDoXK84Uh5OIh60bBDw,https://www.youtube.com/watch?v=QxXi0cEU5J0,1140.0,2239521.0,
T1JQ84O1JG0,CHARDHAM | Motion Teaser | Odia Movie | Anubhav Mohanty | Anuradha Panigrahi | Himadri Tanaya Das,Rajshri Odia,UCKXbRZCBPRI4CT-4lrOEM5w,https://www.youtube.com/watch?v=T1JQ84O1JG0,59.0,363995.0,
AN_Rs0BOWgk,Hare Krishna maha mantra odia 🙏 #odia #harekrishna #mahamantra,HRB SIDDHU ,UC9YhlFGDgGfVQTyePe0rMig,https://www.youtube.com/shorts/AN_Rs0BOWgk,16.0,377089.0,
ai7TTHJ3Few,Dil Bilei Meow😅🔥 #dance #dancevideo #dancemusic #dancecover #song #odisha #odia #odiasong #new,mr.bhabuu,UCHtRvTk6TJU29M6DLSUHWHA,https://www.youtube.com/shorts/ai7TTHJ3Few,29.0,246208.0,
Kttv65le68w,Crispy Egg Chop🥚||#odia #shorts #viral #trending #foryou #egg #minivlog,Mother Food Ideas ,UCVzp_B0ENzKcFi76VszOGyQ,https://www.youtube.com/shorts/Kttv65le68w,59.0,737521.0,
GyjZ6FfKiBM,New Odia movie Comedy/Papu movie Comedy/#comedy #odiacomedy #odia #odiamovecomedy,True Odia ,UCN7Yi6TFPiqHBYjXZl5Bl9A,https://www.youtube.com/shorts/GyjZ6FfKiBM,60.0,1375372.0,
14rYTibjeBw,Tu Tu Tu tumaku 🥰|| Soumya muni shorts || muni Soumya official || Odia shorts ||,Muni Soumya Official,UCBXvDpb-oyzg6ncsSV8oL7Q,https://www.youtube.com/shorts/14rYTibjeBw,33.0,812060.0,
hg-YxBzTj70,Odisha Pakhala Thali Special | Atithi Devo Bhaba Bhubaneshwar | Veggie Paaji #foodshorts #odia,Veggie Paaji,UCVC9JRU1JpfupKHVV0sThOg,https://www.youtube.com/shorts/hg-YxBzTj70,43.0,1881299.0,
n5zlz4-IFNA,Taala Vada Recipe🤤||#odia #shorts #viral #trending #foryou #palm #minivlog,Mother Food Ideas ,UCVzp_B0ENzKcFi76VszOGyQ,https://www.youtube.com/shorts/n5zlz4-IFNA,59.0,350840.0,
wlcYUhZAMUA,jaithili pipili jaithili pipili #song #love #odia old # music# 😁,Shreekhetra Bohu🙏,UCSI-BmrZ_CAicqscKV07MUA,https://www.youtube.com/shorts/wlcYUhZAMUA,15.0,2229.0,
1zoIFOtYu5Q,Pouch Pelei De - Official Video | Ritesh | Arpita | Masoom | Abhijit M. | Antara C. | New Odia Song,Saregama Odia,UCbZYeJWwQgGl9Iea4EeiVmA,https://www.youtube.com/watch?v=1zoIFOtYu5Q,319.0,13909803.0,
O230y-XvVHI,Tora hasa mo jiban❤️🧑‍🍼@Chitralekha_lifestyle #newbaby #odia #trending #mrbiswajit #bapamaastatus,MR BISWAJIT,UChGh7yYcTEzartx-2SXMNoQ,https://www.youtube.com/shorts/O230y-XvVHI,13.0,4586476.0,
OviyvqEivP4,#odia #minivlog #odiacomedy #youtubeshorts #food #comedymovies #funny #comedyvideos #comedy,Jyotirekha official,UCuVmBkE77Z34pF5JkiebagA,https://www.youtube.com/shorts/OviyvqEivP4,42.0,576220.0,
0b_0xBrIDOg,Last dance step unexpected tha 😅 #sailulity #couple #dance #dhenkanal #odia,SAILU LITY World,UC0a5ABXFPtZM-vjWmVHyORw,https://www.youtube.com/shorts/0b_0xBrIDOg,28.0,253364.0,
hLfJjJpB02w,🔥4ଘଣ୍ଟାର ମହା ମାରାଥନ | Complete Odia for CT Entrance Exam 2025 | CT Exam Preparation 2025,Adda247 Odia,UCBS2TBsSg4bl--zknEC6cbQ,https://www.youtube.com/watch?v=hLfJjJpB02w,13888.0,15421.0,
OtTyMAEkswA,Suna Rupa Gauni🥰#shortvideo #viral #oldsong #odia #explore #youtubeshorts #bhai #rakhipurnima,bidyarani,UCSgXyQP0an-d4aHRgsd2guQ,https://www.youtube.com/shorts/OtTyMAEkswA,49.0,86393.0,
5n6d8I-lJXs,An average odia's sunday🤭🤭 #odia #food #bhubaneswar #shortsviral #foodie #bhubaneshwar #shorts,Bhubaneswar street food,UCY38mLY3ysr38IhFz1jvAXA,https://www.youtube.com/shorts/5n6d8I-lJXs,29.0,1161245.0,
Cfv9EwHExw8,Odia love Shayari ❤️ | odia love shayari status #loveshayari #odiashayari #love,NEW LIFE ODIA ,UCFAsJAQyUrWWEgjYStJRVXA,https://www.youtube.com/shorts/Cfv9EwHExw8,5.0,213519.0,
JcgRnTwkDY8,Odia Actress Married In Other Caste//#shorts #short #youtube #ytshorts #song #love #odia #shortfeed,Rahul creativity ,UCflBfYoiivGLPqU6l4Rambg,https://www.youtube.com/shorts/JcgRnTwkDY8,15.0,2371516.0,
2_8ohanns5s,କଣ Auntie thik kahili taw 😉🤣#comedy #funny #shortsvideo #odia,REACT WITH RJ,UCklYKdeKsrjRaE0jHAKtDRA,https://www.youtube.com/shorts/2_8ohanns5s,65.0,2336009.0,
3YyI7ouPIJg,Kulanandana👩‍🍼❤️🧑‍🍼@Chitralekha_lifestyle #newbaby #odia #trending #mrbiswajit #bapamaastatus,MR BISWAJIT,UChGh7yYcTEzartx-2SXMNoQ,https://www.youtube.com/shorts/3YyI7ouPIJg,19.0,1378337.0,
t99dLEWAOuU,Chhadiki Paribi Tate | Odia Romantic Song | Subashis & Sangita | Satyajeet & LopaMudra,Tarang Music,UCcg5_O9TsTLMUbvK6K4Shdg,https://www.youtube.com/watch?v=t99dLEWAOuU,295.0,46449516.0,
SdAYeKSNtHk,Atuta Bandhana || Kartik || Krishika #odiaserial  #odisha #odiashorts #shorts #odia #odiavideo,Bhabesh Lekha Official,UCIWtes0GrMHulymxIMVQtqA,https://www.youtube.com/shorts/SdAYeKSNtHk,31.0,451312.0,
Ci8_R7Jxsng,Tu Kahilu Saja Jaha Akshay Mohanty Song Funny Odia cartoon #shorts #odisha #odia #odiasong Chenga,Mr Odia,UCRtdbfhxidHWqzx3IlWBpcA,https://www.youtube.com/shorts/Ci8_R7Jxsng,34.0,208917.0,
EtIIkvYyKG4,Pakhala Bhata for my Odia Date ✨️,Rishabh Kumar,UCN7NqLIAbCHLrUBvIvhGODw,https://www.youtube.com/shorts/EtIIkvYyKG4,30.0,14583019.0,
KIIWCbBfrOU,ODISHA CHHUA #odia #cinema #song #dance #mantuchhuria #sailendra #trending #deliveryboy2,Sailendra Samantaray,UC6doxJScF2VzvNlOfjNsqhQ,https://www.youtube.com/shorts/KIIWCbBfrOU,43.0,48967.0,
fcTVPiHkt4M,ଆକାଶରେ ବିଜୁଳି କେମିତି ସୃଷ୍ଠି ହୁଏ ⚡#odia #facts #shorts,Rahasya Unlocked 🔓,UCMRTw55A5AbXnFBpCp8Cppg,https://www.youtube.com/shorts/fcTVPiHkt4M,52.0,446.0,
iYsO3MdQDtY,Odia Serial Actress Real Age//#shorts #short #yt #ytshorts #youtube #song #odia #serial #love,Rahul creativity ,UCflBfYoiivGLPqU6l4Rambg,https://www.youtube.com/shorts/iYsO3MdQDtY,16.0,131607.0,
A_zEV0v8ze4,100k Special Chhena Poda🤤||#odia #shorts #viral #trending #foryou #chhenapoda #minivlog,Mother Food Ideas ,UCVzp_B0ENzKcFi76VszOGyQ,https://www.youtube.com/shorts/A_zEV0v8ze4,59.0,735335.0,
aOfmdyOVs3c,Chhanki Gali Mu💃🕺। #odia #odiasong #shorts,LK Priya,UC4MZ_SvBIcm1psWxU21eyJQ,https://www.youtube.com/shorts/aOfmdyOVs3c,29.0,1952433.0,
1kkeXbGBrwA,Rasia maguchi gela #shots Bishnu Mohan | New odia song 2024,Kalia Piano 🎹,UC4uOjFDcBJKcgaAL_9u0svA,https://www.youtube.com/shorts/1kkeXbGBrwA,16.0,2315980.0,
PalrmThU2w0,To pada padigala badalila mo vagya#shorts#trend#viral#odia#marriage#love,Mama's Life,UC8XgT3TJVbVs0iKkX7NPdJA,https://www.youtube.com/shorts/PalrmThU2w0,16.0,7535427.0,
q2aBS9WtbH0,LIVE | ସକାଳ ୯ଟାର ବଡ଼ ଖବର | 9AM Bulletin | 22nd August 2025 | Odia News | OTV,OTV,UCCgLMMp4lv7fSD2sBz1Ai6Q,https://www.youtube.com/watch?v=q2aBS9WtbH0,,,
eXVI4SRa2eo,odia Shiva bhajan# om nama shivaya🙏🌹❤️,Beautiful express,UC_ELXRGS_MXYUqSl0H2HpEQ,https://www.youtube.com/shorts/eXVI4SRa2eo,9.0,273131.0,
rinsGiT6Gy4,gk question । gk in odia । odisha gk। general knowledge #sports #odiagk #generalknowledge,Odisha top gk ,UCte4JRz3NbAnKZGiuhxUMlQ,https://www.youtube.com/shorts/rinsGiT6Gy4,13.0,263341.0,
rBfxISz65f4,my favorite odia song🎶🎤#youtube #love #odiasong,Dayanidhi Samal🥰,UC8Hak1VV4jqVt1a4TQZNRew,https://www.youtube.com/watch?v=rBfxISz65f4,1394.0,1831479.0,
erQGUm6MLPI,Chi re nani #odia #cinema #sivani #sailendra #trending,Sailendra Samantaray,UC6doxJScF2VzvNlOfjNsqhQ,https://www.youtube.com/shorts/erQGUm6MLPI,61.0,322626.0,
wV3iLEPz86M,Trying Odia Veg Thaali for the First Time || Odisha Bhawan in Delhi,cravingsandcalories vlogs,UCsKc38DDpGkNTHwsYjA0rbA,https://www.youtube.com/shorts/wV3iLEPz86M,49.0,1811435.0,
yFmMxGOr4N8,Iphone Pagala | Puri Vlogger Sony | odia vlog | odia short video | #shorts2025 #shorts,Puri Vlogger Sony,UCigeUO5QKcA2DUBDvGPKRiQ,https://www.youtube.com/shorts/yFmMxGOr4N8,66.0,1116699.0,
2VFtrN3tzDo,Sindura Khela | Full Episode 475 | ସିନ୍ଦୁର ଖେଳ | Odia Mega Serial | Sidharth TV @8PM,Sidharrth TV,UCbBWncD3X_dfXwxmj4KwJnA,https://www.youtube.com/watch?v=2VFtrN3tzDo,1426.0,452885.0,
1YhRvQSv2Fo,Kaha bou emitia 🤭🤗#happyindependenceday #comedy #odia #shortsfeed,REACT WITH RJ,UCklYKdeKsrjRaE0jHAKtDRA,https://www.youtube.com/shorts/1YhRvQSv2Fo,121.0,100067.0,
POlk8W1azW8,BENGALI vs ODIA 😳😳😳,KirtiChow,UCtKZCR7Bp4BzICiD2hFcvkg,https://www.youtube.com/shorts/POlk8W1azW8,43.0,3096421.0,
TgmhE5RBL8o,New jagannath Bhajan Status/ jagannath Bhajan /odia Bhajan #jagannathbhajan #odia,SBP Creators ,UCcwCYamPZGq3stcdYdGezhQ,https://www.youtube.com/shorts/TgmhE5RBL8o,12.0,1753823.0,
8p3-Jq2ISGg,Atuta Bandhana | Krishika | Autograph #odiashorts #shorts #shortvideo #short #odia #odisha #serial,Bhabesh Lekha Official,UCIWtes0GrMHulymxIMVQtqA,https://www.youtube.com/shorts/8p3-Jq2ISGg,32.0,232482.0,
tyObiPRqQEc,🌿𝐀 𝐩𝐫𝐞𝐦𝐚 𝐤𝐡𝐚𝐥𝐢 𝐭𝐨𝐫𝐢 𝐩𝐚𝐢𝐧 💜𝐓𝐚𝐠 𝐲𝐨𝐮𝐫 𝐥𝐨𝐯𝐞 👩‍❤️‍👨𝐎𝐝𝐢𝐚 𝐬𝐭𝐚𝐭𝐮𝐬 𝐯𝐢𝐝𝐞𝐨💫 #new#odia#love #song#shorts ✨,SK CREATION,UCSTw--4TAUg2glyfLYlNfyQ,https://www.youtube.com/shorts/tyObiPRqQEc,10.0,323637.0,
X0fi8nZJZH8,🔴LIVE | ଅପରାହ୍ନ 4ଟାର ବଡ଼ ଖବର | 4PM Bulletin | 21st August 2025 | Odia News | OTV,OTV,UCCgLMMp4lv7fSD2sBz1Ai6Q,https://www.youtube.com/watch?v=X0fi8nZJZH8,4665.0,12509.0,
HFaEp1gjWbA,Dil Bilei Meow Meow | Full Song | Odia Song | Pamela Jain | Kuldeep | Nikita Mishra | Ankit,Amara Muzik Odia,UC1EuA9aHCO81CRoJiAW5L2A,https://www.youtube.com/watch?v=HFaEp1gjWbA,220.0,488380.0,
SkDptQAf79s,Ore Sawariya | Official Full Video Song | Love Station Odia Movie | Babushan | Elina,Tarang TV,UCnm5DH0oJndtA-6J10_jIEw,https://www.youtube.com/watch?v=SkDptQAf79s,302.0,11547458.0,
KYGQCS95_DI,🛕 Making Pheni Gaja at Home for Bahuda | Odia Festive Sweet | Leekulifestyle #shortsvideo #yt#shorts,Leeku lifestyle,UCuqWOiPwyU4NGDGMBgKtwFA,https://www.youtube.com/shorts/KYGQCS95_DI,60.0,1926361.0,
e1bPj6-uPzg,Lau Butadali#odia#shortsviral#trending#foryou#minivlog,Rushree Food Talkies,UCdta5m7FrgINYrPnsXv6urQ,https://www.youtube.com/shorts/e1bPj6-uPzg,53.0,189485.0,
wbgXjAFvB0k,Odia to Tamil Words #shorts #viralshorts #trendingshorts #youtubeshorts,GK RETURN,UCfRSjusKkGaAU4q_eAIaDlQ,https://www.youtube.com/shorts/wbgXjAFvB0k,5.0,5430098.0,
uC05TpnLgfE,Sabubele tu mora manara kunia#odia album song💞💞#yt short reel#trending #status..,Sweety Dance & Laughs,UCH-nNpc63g-MYrZy2HMvx2g,https://www.youtube.com/shorts/uC05TpnLgfE,18.0,219910.0,
2h1EcTjlaAo,#Odia dhoka Gita #chhi chhi re kemitika pua tu re# please subscribe me#sad song odia #,Tej sagari,UCumYRozntuTG0gtpkrpC3yQ,https://www.youtube.com/shorts/2h1EcTjlaAo,21.0,709305.0,
OypNQ0ltpN8,Jhiamane sabubele nijaprati satarka ruhantu👍🙏#odiashorts #odiastory #hearttouching #odia #sadstory,RR Sandhya Vlogs,UCiUIVy9sC9WX00wBwvX103g,https://www.youtube.com/shorts/OypNQ0ltpN8,60.0,3409985.0,
uBWOS2XKi8M,tu ma Prema ra raja uasha  new odia viral video song #odia #odiadhemsadance #love,ollywood Times,UC0rAJDRTetFTbv_m_1PYB1g,https://www.youtube.com/shorts/uBWOS2XKi8M,19.0,258121.0,
BBcpnoMP-Ss,Dil Bilei Meow Meow Nikita Nka New Odia Song💃। #newsong #youtubeshorts #shorts,LK Priya,UC4MZ_SvBIcm1psWxU21eyJQ,https://www.youtube.com/shorts/BBcpnoMP-Ss,16.0,378965.0,
MraBxmPaLQQ,Au Jadi Aamara Breakup Hele / Odia Very  sad story status/ Prem Darshan and Romyanjali /Humane Sagar,Mr KSHIROD 80,UCOsTx8DvaeLOMSZ3qVm7_mQ,https://www.youtube.com/shorts/MraBxmPaLQQ,35.0,119542.0,
XPTcY9x_Mzs,Hasata Lakhe Tanka Akshay Mohanty Song Funny Odia cartoon #shorts #odisha #odia #odiasong #funny,Mr Odia,UCRtdbfhxidHWqzx3IlWBpcA,https://www.youtube.com/shorts/XPTcY9x_Mzs,40.0,80402.0,
ObCxGc1jlsA,dekha narama narama niali chhena odia dj💕💯Nagpur song||#trendingdance#odiasong #nagpur #dance#viral,Bad Rock Jittu,UCQ56txJNu4-L2fQmwdrZbSw,https://www.youtube.com/shorts/ObCxGc1jlsA,15.0,931798.0,
zuAftN1MCxg,Kadali Gacha Ra Ahankara \\ Odia Stories \\ Odia Gapa \\ Tiki Chadhei Gapa \\ Bird Gapa Kahani,Mega Tv - Odia Stories,UC1nfmnYM7f1QGTNH2QOAhDg,https://www.youtube.com/watch?v=zuAftN1MCxg,800.0,58847.0,
O9gpXmH7ky0,"😱🐊🐊 panire kumbhira  odia song, natia comedy, kumbhira, odia song #abhimanyu #odiasong #odia #shorts",Unique Fact 4U,UC_E4pU79hq91E7OpSPj6irQ,https://www.youtube.com/shorts/O9gpXmH7ky0,11.0,1017897.0,
7pSHv2Gnqao,"#Jay Siba Shambhu, Odia Bhajan Mohadev, Trending song#, Har Har Mahadev#mrkumar",Rachana jaga,UCTOjkqdIE7NTUeQsgwi1dOA,https://www.youtube.com/shorts/7pSHv2Gnqao,16.0,3300628.0,
_002evyYVeA,Kedara Gouri - କେଦାର ଗୌରୀ | Full Episode 475 | Odia Mega Serial | Sidharth TV @8:30PM,Sidharrth TV,UCbBWncD3X_dfXwxmj4KwJnA,https://www.youtube.com/watch?v=_002evyYVeA,1401.0,411919.0,
53EJPn6x5eM,Dulhan Banami ❤🔥Odia New Song #trending #odiatrending_songs #shorts #odia,SASMITA Queen Vlogs...,UCUQygiXfJQK8ug9FO4ZjacQ,https://www.youtube.com/shorts/53EJPn6x5eM,17.0,3763130.0,
fl_B3Cc5cKU,Chatire Saiti Smruti Maru Ta Paen 💔😭 | Humane Sagar | Odia Sad Song | Heart Touching Sad Song,renukasadlife,UCdAAVr-RvDQ8PlYh8jCB05g,https://www.youtube.com/shorts/fl_B3Cc5cKU,9.0,1078581.0,
MikJtaChV7c,Paneer Paratha With Garlic Chutney#odia#shortsviral#trending#foryou#minivlog,Rushree Food Talkies,UCdta5m7FrgINYrPnsXv6urQ,https://www.youtube.com/shorts/MikJtaChV7c,60.0,1622376.0,
blme7LptNeU,Mo jaga kalia re #jaijagannath #subscribe #odia #music,Punyapayodhi,UCe-CJDILo5ShYwVxa7w-MVw,https://www.youtube.com/shorts/blme7LptNeU,13.0,2055808.0,
Uc8MhWVCSOQ,Pani marigala jhain #aseemapanda #humansagar #sivani #sailendra #movie #2025 #odia #dance,Sailendra Samantaray,UC6doxJScF2VzvNlOfjNsqhQ,https://www.youtube.com/shorts/Uc8MhWVCSOQ,32.0,1218129.0,
UdnMMsA8EzM,•|| Mahua Pani New Odia Song ||• #rupapintukhusiexpress #rupapintu #aseemapanda #mahua #aniket_world,ANIKET-WORLD,UCHiCDaPTm1WAOakC6L_2PJA,https://www.youtube.com/shorts/UdnMMsA8EzM,16.0,4541840.0,
Yg6HlOZ7x-g,Bou buttu bhuta new movie this raja heroine archita and hero Babushan 📸#dance #trending #love #odia,Kumar_santosh _official🔥,UCcPVru-Q378_asR5v-kJ7QA,https://www.youtube.com/shorts/Yg6HlOZ7x-g,16.0,1336236.0,
StJKiBIY3gc,Prema Parikhya | Odia Romantic Song | Humane Sagar & Antara  #humanesagar #odia #PremaParikhya,EnewsOdia,UCRdmic4vOgSgb8-tASplkZA,https://www.youtube.com/shorts/StJKiBIY3gc,24.0,1196501.0,
Zf7R39ub3zQ,Animated Odia Barnamala ଓଡିଆ ବର୍ଣମାଳା (Odia Alphabets) | Odia Barnabodha,Rhyming Star Kids TV,UC34vUabjy_Wx2iVDBDUZv-A,https://www.youtube.com/watch?v=Zf7R39ub3zQ,204.0,31151894.0,
4mnC2c5ZX2k,Odia BarnaMala (ଓଡିଆ ବର୍ଣମାଳା) | Odia Alphabets | Odia ABCD | Odia Barnabodha | Shruti TV,Shruti TV,UClEjYv1RaZXHreX50or_gEw,https://www.youtube.com/watch?v=4mnC2c5ZX2k,738.0,12460761.0,
_TOGtZQFi38,a aa odia letter || odia barnamala || odia aa aaa ee eee || a aa odia barnamala || odia barnabodha,Mohit Tv - Odia,UC8iFgvqKPzqndxZtGu20ZDQ,https://www.youtube.com/watch?v=_TOGtZQFi38,103.0,2203613.0,
2ACJzPIiiIY,Eka Gala Sikara Kari + More Anganwadi Song // Odia Cartoons - Lollipop,Lollipop,UCnL1jQ282uav-HTtVxNVtFA,https://www.youtube.com/watch?v=2ACJzPIiiIY,1300.0,1152578.0,
tTmDJ1oai98,Animated Odia Barnamala | ଓଡିଆ ବର୍ଣମାଳା | Odia Barnabodha | Odia A AA E EE | Tiki Miki Odia,Tiki Miki Odia Cartoon,UCbIgCZrgvns-tFOYO0XIGzg,https://www.youtube.com/watch?v=tTmDJ1oai98,669.0,540238.0,
CwvcPhY_6S0,ଅ ଆ odia letter learning... by cute girl..❤️❤️😂😂,FAMILY VLOGS DUGGU,UCGlMXzx7vHaq8Z7uT5uig1g,https://www.youtube.com/shorts/CwvcPhY_6S0,31.0,3051290.0,
