Channelid,subscribercount,channelname,total_estimated_revenue,total_views,video_count
UCOF23vGxkbhN4wl7ROrgXsA,36000000,Goldmines Bollywood,23171480.7,231714807,7
UCNApqoVYJbYSrni4YsbXzyQ,35700000,Aditya Music,207660540.2,2076605402,83
UC4zWG9LccdWGUlF77LZ8toA,35600000,Prime Video India,13173862,131738620,19
UCX52tYZiEh_mHoFja3Veciw,35500000,Eros Now Music,5064795.3,50647953,2
UCjvgGbPPn-FgYeguc5nxG4A,35400000,Sourav Joshi Vlogs,1029703.1,10297031,1
UCt-k6JwNWHMXDBGm9IYHdsg,35000000,J Balvin,1664428.3,16644283,1
UCHcn4Ux-sO9nzNu7rDsoQLg,35000000,infobells - Tamil,222852060.5,2228520605,23
UCUe6ZpY6TJ0no8jI4l2iLxw,34200000,Nick Jr.,20651538.9,206515389,4
UCLtNvbkqea8wN_kGtfgx_Mw,34100000,Desi Music Factory,13101408.6,131014086,1
UCebC4x5l2-PQxg46Ucv9CsA,33900000,Crazy XYZ,231504.9,2315049,1
UC4rasfm9J-X4jNl9SvXp8xA,32200000,Ultra Records,943249,9432490,1
UCpDJl2EmP7Oh90Vylx0dZtA,31900000,Spinnin' Records,8684737.9,86847379,1
UCBnxEdpoZwstJqC1yZpOjRA,31000000,Sun TV,14082551.9,140825519,44
UC7Pq3Ko42YpkCB_Q4E981jw,30900000,Kids TV - Nursery Rhymes And Baby Songs,2141381.1,21413811,1
UCcryiZdagSR9M-Oii_Y4OfQ,30800000,ZappyToons - Hindi Nursery Rhymes and Stories,285033829.2,2850338292,2
UCYauDsl-rswjQGpA0_-Z9Pw,30500000,Ultra Movie Parlour,3547493.9,35474939,5
UC7wXt18f2iA3EDXeqAVuKng,29900000,Republic Bharat,576342.8,5763428,19
UC9trsD1jCTXXtN3xIOIU8gg,29900000,WB Kids,257561430,2575614300,3
UCs2IckGd_d8kfZGAacfT2AA,29800000,Zidaan Shahid Aly,14766350.5,147663505,1
UCPXQ211d2zbLXFmFr4uy7YQ,29800000,vlogger varun,8468618.6,84686186,1
UCRqs0TZOqe5nrwP-BrdnCjg,29600000,jaanvi patel,12140051,121400510,2
UCs570zdFq_NNA5OcV8chnHw,29500000,Goldmines Movies,195554.7,1955547,3
UCBz9qbqujcjIavFmBJW2oZw,29200000,Sony AATH,51494963.6,514949636,127
UCk3JZr7eS3pg5AGEvBdEvFg,29100000,Village Cooking Channel,98417.3,984173,1
UCN6sm8iHiPd0cnoUardDAnw,28800000,Jamuna TV,20637.7,206377,2
UCFdmd1JSZVHF2nCpudLfQDA,28800000,Tappu Honey Parmar,23565517.1,235655171,9
UCOh01Sv2bdi_hjci9tOH7Mg,28800000,Aja Kitchen,22290082.9,222900829,6
UC1NF71EwP41VdjAU1iXdLkw,28700000,Narendra Modi,1379030.5,13790305,5
UCBqFKDipsnzvJdt6UT0lMIg,28500000,Sandeep Maheshwari,2146748.8,21467488,3
UC9ChdqQRCaZmTCwSJ49tcbw,28300000,Sidhu Moose Wala,194407857.1,1944078571,20
UCvrhwpnp2DHYQ1CbXby9ypQ,27500000,Vijay Television,4428127.5,44281275,20
UCxHoBXkY88Tb8z1Ssj6CWsQ,27500000,SOMOY TV,1536363.9,15363639,1
UCBBZ7No0AzEJ3qiatjSa-mg,27500000,SMOL,15219561.3,152195613,1
UCZSNzBgFub_WWil6TOTYwAg,27400000,Netflix India,5918142.1,59181421,12
UCpcsv3Ow-8IhoUGDEfPetsQ,27200000,Venus Movies,1937652.9,19376529,1
UCYLlkv4hivYJlOk6Lo-RHNQ,26400000,Wave Music Bhojpuri,51513542.3,515135423,9
UCEnqwW6f7bYidXHAI13hhMA,25800000,Jake Fellman,71084960.4,710849604,2
UC5PYHgAzJ1wLEidB58SK6Xw,25600000,Blippi - Educational Videos for Kids,2488493.8,24884938,1
UCuzS3rPQAYqHcLWqOFuY0pw,25500000,News 24,78148.4,781484,9
UCvEAgG7WzPZnZkf9iOV_YCg,25400000,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,2829095.9,28290959,1
UCOutOIcn_oho8pyVN3Ng-Pg,25200000,TV9 Bharatvarsh,172742.3,1727423,6
UCopY0NAzASqmD6eVaRj2TFQ,25100000,Ishtar Punjabi,874435957.5,8744359575,56
UCJhSN5ic1QXn1doXzdiiCGQ,25000000,हिंदी - Genevieve's Playhouse,27286219.4,272862194,1
UCatL-c6pmnjzEOHSyjn-sHA,24900000,Khan GS Research Centre,745704.3,7457043,1
UC_x8HoD18XJkILQBreVENUQ,24900000,DJ Snake,52105089.2,521050892,1
UClJXZR68EbNb3Ny8U-hvskA,24200000,Ravi sagar88,1169204.7,11692047,1
UCOQNJjhXwvAScuELTT_i7cQ,24100000,Sony LIV,376275.3,3762753,6
UCAWuV9ZZ0itI3WR-JHWIUNQ,23800000,Infobells Bangla,232225145.7,2322251457,24
UCSs9H1cyB3OHdy8wkit8ZKg,22800000,etvteluguindia,12996698.9,129966989,43
UCyxbZF7_PK4nLiexj0kkCNg,22800000,Romeo Santos,46129102.6,461291026,1
UCw0ry7cLRUnq3Oaszlhgqfg,22700000,DLS News,35625.8,356258,1
UCpN-WGQgGsOrXm7nHXDdTDA,22500000,T-Series Hamaar Bhojpuri,175323207.7,1753232077,65
UCTNtRdBAiZtHP9w7JinzfUg,22400000,SonyMusicSouthVEVO,683010947.7,6830109477,142
UCe3GjNY3Kqi8Xd6nT4JN_6w,22200000,Fun For Kids TV - Hindi Rhymes,210861607.5,2108616075,3
UCR_-PUF53tA5-Iyp4Ncfjcg,22200000,Enterr10 Rangeela,60695478.8,606954788,34
UCoy3dQzEdq1y2zMnT4pdj3Q,22100000,SriBalajiMovies,58662466.8,586624668,33
UC0PKLLmL8pIJLjOI1gBH_pA,22000000,Shemaroo Comedy,41565008.7,415650087,3
UCiBigY9XM-HaOxUc269ympg,22000000,Green Gold TV - Official Channel,6643.4,66434,1
UCMk9Tdc-d1BIcAFaSppiVkw,21500000,TIMES NOW Navbharat,63150.5,631505,2
UCZ_OLiS7DkyCg89eV_qQMoQ,21500000,Bollywood Classics,1682200.3,16822003,1
UCMiJRAwDNSNzuYeN2uWa0pA,21400000,Mrwhosetheboss,1924893.4,19248934,2
UCR-foyF-C6VuAlwy3KZMkgA,21200000,Dr. Vivek Bindra: Motivational Speaker,1690059.3,16900593,2
UCWJMtvKZjKYCfwMUpAmuP5A,21200000,Rakib Hossain,2057552.1,20575521,1
UCN7B-QD0Qgn2boVH5Q0pOWg,21100000,BBC News Hindi,150376.7,1503767,3
UC7u9o8BHiJyH2_cef_nC7tQ,21100000,Dental Digest,14465576.5,144655765,5
UCLbdVvreihwZRL6kwuEUYsA,21100000,Think Music India,61199709.7,611997097,16
UCfiM9_Me5QJBEr0PItkbXgw,21000000,tabii Urdu,308999931.7,3089999317,135
UC783dnzJqf2ghHp_pFLYbGA,20800000,DM - Desi Melodies,295080686.1,2950806861,9
UC3zVeAaoPEN1Tu25dW3G2Ig,20700000,Sonotek,717680.7,7176807,1
UC6ERimtc5zFrn7x6Bk3HaHA,20700000,A2 Motivation by Arvind Arora,510355.2,5103552,1
UCn4rEMqKtwBQ6-oEwbd4PcA,20500000,Sony Music South,353248969.3,3532489693,59
UC9CYT9gSNLevX5ey2_6CK0Q,20500000,NDTV India,315946.2,3159462,3
UCUPD0jQo-EP0B1Nf4uzeIMA,20300000,Mazhavil Manorama,956932.9,9569329,5
UCvUQlc8xLcZPPsPXeWieXkg,20200000,iam_nandinirajput,1021232.3,10212323,1
UCga6uMv6x1mMOwolhD9cXAA,20200000,The Savage Siblings,10520561.6,105205616,1
UCzL6rJhkoXkIt0fCv9T9_uA,20100000,Pop Chartbusters,6799347.9,67993479,2
UCeMsqI6jU9WE2ctsrbxbywQ,20000000,Zee Bangla,600412.3,6004123,14
UCrC8mOqJQpoB7NuIMKIS6rQ,19900000,StudyIQ IAS,172510.9,1725109,1
UC_vt34wimdCzdkrzVejwX9g,19700000,Geo News,417514.1,4175141,39
UCFcBAGR0drI3F15EhMFjuTg,19500000,Aayu and Pihu Show,456265.9,4562659,2
UC8md0UEGj7UbjcZtMjBVrgQ,19400000,Behindwoods TV,4724481,47244810,4
UCAH1Aw-mXgcB3t8uaqW4yTA,19100000,SRK MUSIC,49242440.5,492424405,4
UCZbTuDplLcBb4bTHa_-5_UA,19000000,Kids TV India Hindi Nursery Rhymes,12391588.5,123915885,2
UCnSqxrSfo1sK4WZ7nBpYW1Q,18900000,Lahari Music | T-Series,101753944.2,1017539442,29
UCS56r87Y7q1SrAB-42brE-w,18800000,Sonyakisa8 TT,153650029.9,1536500299,2
UCXOgAl4w-FQero1ERbGHpXQ,18700000,ZEE5,287093.7,2870937,6
UCIcCSfFNPw4sFQ-n1sGXM7Q,18100000,seeVi la,1832075.4,18320754,1
UC1Ekm042kfOFJyKaTIYOVIA,17900000,Aadishakti Films,194413579,1944135790,24
UC0J8BQahplvTY6LjlnLf_NQ,17900000,Saregama Hum Bhojpuri,180212367.9,1802123679,24
UCIeNlITYK46VkR7yIuTL8GQ,17700000,Volga Video,6150469.8,61504698,13
UCBIT1FSJW6yTlzqK-31FDWg,17600000,LIV Comedy,981842.3,9818423,1
UCgsdrGox82hP4o97-kt8sjg,17400000,Koushal Monga,13805854.6,138058546,1
UCzKWILdrVl8ZEcDzaH4kl_A,17300000,infobells - Kannada,141076871.3,1410768713,21
UCo07fumrTn1w4AxcU4j_uDw,17300000,Times Music,152769459.4,1527694594,18
UCctDQlR34dhq8p3vSKfh8dg,17200000,Nico_thepomeranian,19916129.8,199161298,2
UC4WkXgiK6VxAri_R_qmIFvQ,17100000,Samayra Narula Official,2555526.7,25555267,1
UCsNdeLwEZf86swPD3qJJ7Dw,17100000,News Nation,32105.7,321057,3
UC_wIGmvdyAQLtl-U2nHV9rg,17100000,Zee Tamil,8413974.4,84139744,62
UC3PYGKK29qJ0zu-eEthHK4g,17100000,Zee Telugu,8511911.3,85119113,76
UCM1VesJtJ9vTXcMLLr_FfdQ,16900000,Coke Studio Pakistan,258733277.9,2587332779,8
UC2MRRqb_L2E53UmTaywdhkA,16900000,LittleGlove,655545.5,6555455,1
UCbH4Ii9Htdqc-QgxoV3M0Qw,16700000,ChuChuTV Hindi,44236612.6,442366126,5
UC5H9MzrMkJ5iuN11vV2PLhA,16600000,Rojgar with Ankit,67531.5,675315,5
UCNye-wNBqNL5ZzHSJj3l8Bg,16600000,Al Jazeera English,5517.8,55178,2
UCOrE-2VgEOJ9LTNLYu5LeEw,16500000,Anant Rastogi,785085.4,7850854,1
UCy2fvV-mH_4AcIgqnLg9uDw,16500000,T-Series Regional,511822.4,5118224,2
UCsUBoYj2kqgj72g6kgzGPMg,16500000,English Connection,11600560.4,116005604,4
UCsCe7SNQckiRJ6y563SIupg,16400000,Jugnu Kids - Nursery Rhymes and Best Baby Songs,130401902.2,1304019022,7
UCovfq4h24UvKIju6kqqNu4A,16400000,Great Indian Asmr,2803984.5,28039845,2
UCG_rbseeLwlrNVJg-p4M3rA,16300000,Captain Watch Hits,2126693.5,21266935,3
UCS82zx5z7mTTgLS43q0rTkA,16200000,Prashant Rajput,365039.9,3650399,1
UCpTILQ0MwpwiUtv9f0H8EhA,16200000,Palli Gram TV,15942129.1,159421291,7
UCWKeZvw4iSZVM2qXKZde58A,16000000,Zee Kids,5603753.6,56037536,5
UCW3VI9s3Dw8o1ekgjI3FCzw,15800000,Blockbuster Movies,1686059.4,16860594,1
UCye6Oz0mg46S362LwARGVcA,15800000,Universal Music India,115223097.8,1152230978,8
