Channelid,subscribercount,channelname,total_estimated_revenue,total_views,video_count
UC52swFWGgFiVtYLHe6O0GKw,2040000,Strength Side,479482.3,4794823,1
UC9BNGVGr_lvbn3d23ckuVOA,2030000,SRS Media Vision Entertainment,163530.8,1635308,1
UCcXis60239pmxyg-YOZkqeg,2030000,Let's Make Education Simple,5730496.1,57304961,14
UCNwcxhfBVDgwx9Lv3CBpu6A,2030000,Milestone Makers,182822,1828220,5
UCAIhHcOFcJSsj-16kc_y4fw,2030000,Naresh Parmar,696425.7,6964257,5
UCDKbeG8euUxH8myfK3M7iVA,2030000,Debinna Decodes,5411293.4,54112934,2
UCFfkQtGJDhbknD2rltZUsoA,2030000,Monavik Music,720082.7,7200827,1
UCBi3cMjG1lEMapzFt7qV3qQ,2030000,Varinder Brar,161330.1,1613301,2
UCAua8snb_ZHngxkPyR_SOMA,2020000,Ranjit Singh Entertainment,26421066.2,264210662,4
UCNXiWj-EAjs-ddfAOBZ0nKQ,2020000,Sachin Kumavat,35875879.2,358758792,1
UCMmDgh65drlzUej14EnU2Og,2020000,Bakthi FM,8290280,82902800,1
UCJazMNzlyTD7Fjauk5dud1g,2020000,GOODWILL ENTERTAINMENTS,3290660,32906600,2
UCq6f9bBWaWTHl0FhH167RgA,2020000,Ariyoshi Synthia,4989603,49896030,2
UC321fUf87t5hJvzB6IKKf7Q,2020000,Shree Brar,14251400.6,142514006,1
UCD0Hu-1xvkZ9ixaP8eUmbdQ,2020000,Sathvik Anand,51464357.6,514643576,7
UCTNi3Sj7jcwREuoGposjgxg,2020000,APPUSERIES,1100619.1,11006191,1
UCs7on9W7SIbyO4f-Pb7lgbg,2010000,Zee 24 Kalak,3736.7,37367,1
UCkNL_TQio--h85-14lUVY3A,2000000,ITSMAJJA,50004.6,500046,17
UCKrC1r7jTlAALKaJgatpFjw,2000000,Bollywood 70s 80s,167729.8,1677298,1
UCOkrf_GdZe2AO-khIqSWNZw,2000000,Anand Music,226016,2260160,1
UCeAw6cAKz3Kyyt_6mHrTOOg,1990000,786 STORIES 4 U,1612901.8,16129018,3
UCtUHVlXNVE_j8Zj07JS115Q,1990000,ticket2 explore,2265312.3,22653123,2
UCmX0srBD3VtyXTypTpnuGiw,1990000,One Time Watch,6004.7,60047,1
UCqjZP--eC1GpwawoO5iIU_g,1980000,JOJO J5 PRODUCTION,19032.2,190322,1
UCtwuw7RtQ11hVnbZS-UOr-A,1980000,Kotha Cinema,917245,9172450,1
UCQuNBQJSrls3CE37dTnH1pw,1980000,Cinemawala Entertainment,474939.8,4749398,2
UC-2zGgKSIPcI8mxccoxLvWg,1970000,anjuz lifestyle,1169088.9,11690889,5
UC-r_iceUdMT_sl9vcR7_5nA,1970000,use tools,3801739.9,38017399,1
UCCF6-NfVDYhNOk2jeLQVTAw,1970000,Hum Jeetenge,6414437.2,64144372,1
UCKFnBiPHyBRYJanS1d_w26w,1970000,IVY Akshat Films,271490.5,2714905,1
UCfZPecyyiXTa1fY6xbTOCCA,1970000,Koo Koo TV Kannada,706891.4,7068914,1
UCXMeGpPyd2ETDAhYU8pKsJQ,1960000,Samrat Exclusive,1033959.1,10339591,4
UCoqGVRx-OzwANk9b17swf9Q,1960000,Vinni voxx official,95697.5,956975,13
UCE0U4TxJ4wkfwi1o5DuxZhw,1960000,visa2explore,1726181.5,17261815,1
UCFuxLOUo41P3eEAW8U-Dwjg,1960000,TARGET BOARD,249264.9,2492649,2
UCQOvg6F-5CTHYATUIDylzMw,1960000,Pebbles Tamil,21409.3,214093,1
UCbYeYRcs4h9jAfuuOvh3dVw,1950000,sardaarjifoodie,403255.3,4032553,1
UCy-pIJQu39gJqJDpdC1jALQ,1950000,SM Creations,14179.9,141799,1
UCEnMcbW-aBXJRunWKHXNT_Q,1950000,Masum CarToon Studio,595909.5,5959095,1
UCMzQPexsoDOhLr5szBwbX_g,1950000,Hitesh,1644130.2,16441302,2
UCIEjvJoLH_TEU3dQz827ksQ,1950000,Dhiraj Sanap,486200.2,4862002,1
UCDCdzwdU6aPC1f88RajGsrg,1950000,Banglar Rannaghor,1933062,19330620,1
UCcf99XTO-KPPAGs03HcNXdA,1950000,Sun Marathi,215103.7,2151037,1
UCHgEMJphz7WDGqDGyyuqDNw,1950000,Jasmine Sandlas,1490247.6,14902476,42
UCKXUXx16fR-S0m54fDG9-MQ,1940000,DJ Akter,4936269.9,49362699,1
UCtfL-4W-gxfNUjEjpZq5b9A,1940000,KANNADA TECH FOR YOU,93177.1,931771,1
UC0D-9f6I46bQQn8_e18fR8A,1940000,Ammy Virk,6114.2,61142,1
UCmSHlTXTeRBhkAKQTC7wPXA,1940000,ATN Bangla Natok,6688682.5,66886825,1
UCgH2KCRzsLJPNvvDe31mczw,1930000,Mr Rice Guy Art,3239.2,32392,1
UCPpKJjpFqzSHgyAVmnZhXAg,1930000,Gurbani Shabad Kirtan - Amritt Saagar,407287096.1,4072870961,3
UCLMfeT_BVADvx_sTybotSLA,1920000,Kashif Majeed,1756746.5,17567465,2
UCYH1yre7R1k2dYPaz3Zye7A,1920000,Bingoo Box,31013.8,310138,1
UCtuuSv_4r6op5RHDs9HzsqA,1920000,Brand B,9875.2,98752,1
UCO1vEFjpDAZrQpg07yHhZhg,1910000,Fun Da.,2908287.3,29082873,2
UC4P7fgvQinbOJDEJ9lluZWA,1910000,WATRstar - The learning hub,12505413.7,125054137,37
UCYIJ4sWyxQEbWwsGKb9gIpg,1910000,WAM Movies Bengali,6120550.5,61205505,5
UCW3Am9IilzAPUMLslIJjxow,1910000,RAHUL GK SHORT,883995.2,8839952,1
UCZXl6HqgDeQ4JIWfwMDWKag,1910000,Madras Central,207.9,2079,1
UCGBnz-FR3qaowYsyIEh2-zw,1910000,subodh londhe,281001.6,2810016,1
UCLqCHHozhQAFVEdwIHeL2qw,1910000,Videogyan Telugu - Nursery Rhymes & Kids Songs,383646.7,3836467,1
UCl_o8T7iF9FJCHO5F1guNqA,1900000,Ultra Gujarati,59187923.5,591879235,3
UCbpoYJR5330eSN4ljwVp1gw,1900000,Aapke Pyaar Mein - Love Songs,805062.3,8050623,4
UC3lszqSXpk6rM4N5dGHzkQw,1900000,T News Telugu,3456357.1,34563571,1
UCu6edg8_eu3-A8ylgaWereA,1900000,Infinitum Urdu,15356.7,153567,12
UCqpbX_6rqbnhVWCUzqGbgKg,1900000,Movie Bazaar,39182662.5,391826625,18
UC9LwH_0J34sx2IbAHGbxd8A,1900000,Baby Taeny,241.3,2413,1
UCfBhS562zibSWVElQ_iyuzw,1890000,Pooja Bishnoi,422722,4227220,1
UCesP4_bdZlsYZkbJDGxbFVg,1890000,Jhankar Music Bhakti,167097,1670970,1
UCA7bdnvxA9PohJzkMhUW1hw,1890000,Tani Malayali,522878.5,5228785,4
UC0OjtqHqaKjetE-4oziYWug,1890000,Tuaha Ibn Jalil,372564.9,3725649,1
UCo9HPMSoI3aDsDMn_HVzvtg,1890000,XY- Axis Education,432759.4,4327594,1
UCzx33jhpf711MTGGGPano6g,1890000,Discover The World,110827,1108270,2
UCrSuT_WdC9-LgTsDsVYkGLg,1880000,Anymootion,3441.9,34419,1
UCsX-1hF8fiZoAa7TNLgVcbw,1880000,Lahari Bhavageethegalu & Folk - T-Series,797719.5,7977195,1
UCXNtS5Od_4Njr6J5YJo2uyg,1880000,SimpleGhar Tamil,13060297.5,130602975,34
UCnxvhzINEXzpTaxbS59JL-g,1880000,Jupiter Entertainment,1633148.1,16331481,3
UCCJlIKI3F7IC4B63mYmx95Q,1870000,Bhojpuri Films,242369.1,2423691,1
UCacxRjb8z7z5XHqJkKkNubg,1870000,Eagle Islamic Natok,2423610.2,24236102,4
UCd5A8poxhdxProarD8AU-bw,1870000,Digital Swadhyay,1165589.7,11655897,2
UCsqqJ5iBlmzVVOv1b2W4SSw,1870000,TrendMusic,32691.5,326915,2
UCUgP5pdToi19fWe19NVliFg,1870000,Connecting,8190217.7,81902177,1
UCPdY_wN8ZU8qs7DNrLb9z8w,1870000,Electrical Dost,18185.8,181858,4
UCnwpEDub-SVH_2TwtkkLZIw,1870000,Pabitra Entertainment,842912,8429120,3
UCsmrdqAylZ8omaPTprtXL3A,1870000,ChuChuTV Telugu,2190113.8,21901138,3
UCCdymBMKUtoNmgfam-hxLdQ,1860000,Sur Music,6884835.7,68848357,4
UCW1BEAegBZdCOq4M7JtDSQw,1860000,JEETH MEDIA NETWORK,23923708.6,239237086,3
UCXFsRaRvY0QBlNC0ZCkB4ew,1860000,Jibonto Animation,4972.6,49726,1
UC02tDemqzG7D4Ep3K4D4Ptw,1860000,Asianet Movies,43334.3,433343,1
UCW08-HtmAqO08bsdF2_KF6A,1860000,Namma KFI,5875.8,58758,1
UCU1GDiVN1bCa-gVy9jJPqLA,1860000,The Punjab TV,54182.6,541826,1
UCI1i5R552GgNLZNGV_luApg,1850000,Cinema Chupistha,27464.7,274647,2
UCCRMyhlA9iS9143NHrZLreA,1850000,Bhojpuri Cinema Sangeet,147968.1,1479681,3
UCGmXytEjNV0AhO9FcQoXRuA,1850000,RAJ ANADKAT,49146.2,491462,1
UCrSYpOSIORd5AELgl8_xSiA,1850000,SGV Kannada Films,2151447.6,21514476,1
UCqHcF31sut5sUUnLvLZlhSQ,1850000,Aditya Cinemalu,680259.1,6802591,1
UC5LRI8bTY8_CUY9jJWac0fQ,1850000,Yellow Music,52741.3,527413,1
UCDjrDp76VeIzmQckJSmQJQg,1840000,Gynaecologist Dr Dipti Jain advance hospital,4007862.3,40078623,2
UC9fJhqqUjHuIMmUg9hsspog,1840000,Sangeet Bangla,470363.7,4703637,1
UCj1-lHnvanjWSmgNayNCp2A,1840000,The Shukla Sisters,1167611.9,11676119,1
UCU6eTwodoOC2S6yzgDrJ_fg,1840000,Akash Narayankar,591434.7,5914347,2
UCYT_RmiSkz2GJ55P3QmGgMw,1840000,itsanamikaherevlogs,11356878.2,113568782,2
UCvHlL3pKHCsANFuLKk1JEKQ,1840000,MIRROR NOW,303202.7,3032027,1
UCWCEYVwSqr7Epo6sSCfUgiw,1840000,Vijay Musical,393.4,3934,1
UCWUuS7lrb8SiyEp3XgeMuuw,1840000,Priya Vantalu,3005136.7,30051367,2
UCNAZGmcSE7h2r9WKHDpnyrA,1840000,Chef Neha Deepak Shah,1079434.6,10794346,1
UCpagyLd8i4TFIdbeK06QJYw,1830000,World Friends,1608753.9,16087539,2
UC7QteRlErpm27bkZ6izFwKg,1830000,Rk Reaction,115795.8,1157958,3
UCwh0bHulyWFi4QPJXp7QwMg,1830000,Lahari Music Kannada - TSeries,568829.1,5688291,1
UC3nd8KWMTo8w_KOyPBs1HsA,1830000,Xylem SSLC,8564685.4,85646854,9
UCtnHxTn2yi8Fs3R7EnuYKBA,1820000,T-Series Bangla,321688.1,3216881,21
UCPH9W_9ZDQ1gemcCaIxOvCw,1810000,EDUCATION BABA,12270696.5,122706965,14
UCQObkI1w-DEMc9XzD5fQRlA,1810000,Raw Talks With VK,65762.1,657621,6
UCEW_Fg9lQ2VaS7DLVma01Cg,1810000,The Bong Juti,396462,3964620,1
UCEDxaJJkPalZne4wWpcGOXA,1810000,Shemaroo Kids Telugu,22113828.3,221138283,19
UCBlcgcVCrHRiAQqUyH1WYug,1810000,Telugu Geeks,28379874.6,283798746,2
UCPLCQxD153t7OdWDwAslgGg,1810000,Creative Thinks - A to Z,28567,285670,1
UCowzbzrHpmp2GJ4TeqnQ0nw,1810000,Doremi Friends - Nursery Rhymes & Kids Songs,2286872.2,22868722,3
UCmTf3CLM40GsA9sWcK57h6w,1810000,Pebbles Gujarati,5651073.9,56510739,1
UCBStshjJsMfVO2YfvCqDFyA,1800000,sudhamoy karmakar,281605,2816050,12
UC-_wCmNf6dPZp20y1xIeW6w,1800000,Tabbu Sabnam,74889.2,748892,2
UCRy04OqJ61FvERAw_qxjteg,1800000,BHOJPURI No 1 Channel,27936.5,279365,2
UCJCznAdG_lgO-2HvRuzlsSA,1800000,Sabitree Music,167115.7,1671157,1
UCn92f-TZ24id4GHLGdAG1Mw,1800000,INRECO CHILDREN,3605462.3,36054623,4
UCzACdAt-Ovt0mCVWGCThpOw,1790000,SGV Music,17186680.5,171866805,4
UCUO74q0Mu2-ddC_ZIYTGnyQ,1790000,Keshab Dey,10434579.9,104345799,16
UCcyt2iSyrjr3AbxIS7pIXfw,1790000,Alamin707,1152166.6,11521666,2
UCkdi72t44Z2hMSjL0YNldSQ,1790000,Kushal Mistry,16120,161200,1
UCbzo3TYfJDzWZwnwNqkGIEA,1790000,Telugu TechTuts,271764.4,2717644,2
UCBStUF8ywTtgCvkpYVvi1YQ,1790000,Sonam Sonali,116584,1165840,4
UCOOJMhaQ6F6V8o_ytPIugNQ,1790000,BENGALI SUPERHIT DUB CINEMA,18249523.7,182495237,2
UC7OWffiMiw-UpmzNkCywU8w,1790000,Rajkzr,540864.3,5408643,1
UCDdX__CY4YLGoggpG2vvILg,1790000,Wirally,647809.6,6478096,1
UCYhE3LuAdW98CdwoemBsrdA,1780000,OK Tested,616604.4,6166044,2
UC7lmZqhJeTzeQQkqNvfmjqw,1780000,Daily Max,147257.6,1472576,2
UCS0tiaCChXRF_XpU5TmlWSQ,1780000,Isha Borah,25215.8,252158,1
UC8ew8wZduGItrTA5Ci1a3Fg,1780000,Armaan Music,2200920.7,22009207,3
UCma8JxSzVY9ubCT7IrEqKZQ,1780000,i am Noel,4189201.8,41892018,5
UCAMNaRNK1eJxJsVdYUuuuQQ,1770000,Film Companion Studios,361480.7,3614807,4
UC55os7K-eMLTJy_aXzm5sHw,1770000,ProMedia Images,5902.5,59025,1
UCaNSmndHybi1WsrsORkiYJw,1770000,mcaudiosindia,9758.7,97587,1
UCq21xjyjN8loieYxADTPQLQ,1760000,Kidsone Telugu,2620257.5,26202575,10
UCjCHw0Np-xswtfxQac2yiYA,1760000,Almost Everything,11541774.5,115417745,4
UCqdpvuKq4bShO1cJoFX6zpQ,1760000,VEERU A53,131646.8,1316468,6
UCSq1sfqbgs2Ug1yaBWTsO3A,1760000,Lokshahi Marathi,395576.6,3955766,1
UC2ut_DrUZvO0BzUxZ_g9fXQ,1760000,BANGLA COMEDY,2747.8,27478,9
UCS-ML4Hw4FBXKGL_PzIFlFA,1760000,Ashus Delicacies,109602.9,1096029,3
UCHxXI50KkwXXvzoExuImQjw,1760000,Jhankar Music Timli,8601828.7,86018287,2
UCwjrgZbGB0vgv9pgU2foFMA,1750000,News7 Tamil PRIME,657324.7,6573247,1
UC2f4w_ppqHplvjiNaoTAK9w,1750000,Hindi Mirchmasala,25327.3,253273,10
UCXaf3D0LOZsdYWA-5-n-_Kw,1750000,Times Music Axom,303.8,3038,1
UCoXCrCeyIEU4z6xCAds7utQ,1750000,Ssoftoons Haste Mana,31437610.4,314376104,25
UCJy0Vlw4WMZ-pWIcpqEjiwQ,1750000,BhaktiOne,63804.2,638042,1
UChOHAoVKJ3coNFomdN-evBA,1750000,Satish Ray,3089054.2,30890542,1
UC_m9amgaxYJaNcOJfbQf-EA,1750000,KalaignarTV Movies,352291.8,3522918,1
UC8-dWVwoMQNOqIdW04mIHPQ,1750000,Prashant Nakti Official,808692.9,8086929,1
UCLpYF7TOLdw7gSZ3-1PR1cw,1750000,Dr Satish Kumar,3228508.9,32285089,5
UC1g2tyrcHzJo_KuqdEi-EYg,1750000,The Hindu,14342425.8,143424258,3
UCYaE-blRyiy300gLC-yDRUQ,1750000,Ashwin,670803.4,6708034,3
UC3njZ48-FDxLleBYaP0SZIg,1750000,Madhu Arya,4986.5,49865,1
UCYbge2419-UBBDyv6frJ3jA,1750000,TVNXT Kannada,14524.4,145244,1
UCHeKzHpFd1pr518eRdryLaQ,1750000,Maddock Films,4363368.4,43633684,5
UCiz4Ogbrc6m-eboj69pstEQ,1740000,Detective Mehul - मेहुल जासूस,626723.4,6267234,2
UC-LOdiPoxninevJ0DkleCLg,1740000,LITTLE DIY,9630550.7,96305507,3
UCKFlR3uhYBlRPI7AnZN287w,1740000,Pebbles Kids Learning,439059.1,4390591,1
UCON3CEG_4DcSSilx4i_j0-A,1740000,Foodies Food Court,4706954.5,47069545,2
UCc-BG8L5o7yqQjM81yHePnA,1740000,Saina Movies,523786.9,5237869,1
UCY_tzh5ft4JNCjES4-Ngvig,1740000,Kallu Music World,913639.2,9136392,1
UCeM3IXubMXTH3LdsMQ3VAhw,1730000,Desi Junction,250037.6,2500376,1
UC5sPy40awSQ_vgGHZSjkVyg,1730000,Bharatiya Digital Party,448112.9,4481129,1
UCZvoorhjugJsRPDfV9-E_BQ,1730000,Aman Pandit,37216372.1,372163721,5
UCUw8vQF-X7CJqdVpxBYcavQ,1720000,KD Digital,1252854.2,12528542,9
UCFw92jWf9MvGgWjmFw_4r_w,1720000,Fauji Fact 1M,2719166.4,27191664,2
UCfOF7Jw4GfLK9BvAlZ9Vvww,1720000,Sai Facts For You,1078405.6,10784056,1
UCvMIIi32R9taXD024vCLnJA,1720000,Funny Angulia,250982.5,2509825,1
UCAFHfo_lZd4xhZoC5pmno_A,1720000,VYRL Bhojpuri,14795.5,147955,1
UCRSVI-eLa2y4BVCJNf1-aSA,1710000,Behindwoods Max,4815437.6,48154376,7
UC3cLf6pTB23nDry7awtxSZQ,1710000,samrat_shetty56,8447579.7,84475797,4
UCgBgmpLPPGbDkReJPUw7lIQ,1710000,MBG ARMY,20071.9,200719,1
UCHVccglkHH4lzsyb8x6j3lg,1710000,Still One,1761514,17615140,2
UCrPezsltlsZZiEkxTE2l39g,1710000,SoloSign,14987.2,149872,1
UCBRcCJ3d3OXoCC5zTRkAKBg,1710000,JioHotstar Tamil,1315575.6,13155756,1
UCVlNQ5Olu3Uiv5FL8e-yEmQ,1700000,Vishal Film Factory,83117.6,831176,2
UC8lPjTzRiG37n1Q2kpz3Rfg,1700000,Planet Recordz,260270.8,2602708,9
UC6DRQW2vxV-IfdsVxeAwm_g,1700000,HW News English,1382668.1,13826681,1
UCKnlcTr0b56aI_t7w1orgFw,1690000,Vocabineer,16540226.6,165402266,2
UCKS2lBhhZZGipYENVHxMBkQ,1690000,GHORE BAIRE VLOG,157560.6,1575606,1
UCLjnzxE22FZtN2oaQsFoI5A,1690000,Junglee Music Tamil,57285.5,572855,1
UCLJC8dm_omWx5OPV5nEnKCw,1690000,Mandeep Dildaar,143673.8,1436738,2
UCXS0LXj5BO9CS8uVBFPBvrg,1690000,Boss Wallah (Kannada),2333438.2,23334382,3
UCelTp1RybX6tM1XDx45bJlQ,1690000,Wave Music Assam,8986081.5,89860815,8
UCfMEz1FHN9aQNY2Gtt1BGXw,1690000,Tech SuperStar,204109.2,2041092,2
UCYF9I2j0onfJcFNwiVEa8CQ,1690000,Sidharth Gold,1098525.6,10985256,5
UCnpBi6jWkLeBcHoEqtPDBJw,1690000,The EPIC Channel,12190.1,121901,1
UCrNEibpQVgfj97O1E3ViuIg,1690000,Ahaana Krishna,846742.4,8467424,3
UCUOJBde9-K1CKiOzwO8hQIg,1680000,Argus News,171273.9,1712739,2
UCAGpAMprjGtyK4N0pSuVbaw,1680000,Sony Music Bangla,247964,2479640,1
UCwBK7Cdk0wq8rCjxcvaoHzg,1680000,Al-Islamic Official,1488.2,14882,3
UCc052CoYw9cF27quifoL_mg,1680000,Hindi Kahaniya TV,698803.1,6988031,5
UCNW42PlEYPmwMU2Cl_rboAw,1680000,PRK Audio,154511.6,1545116,2
UCSfX2TUPfxMpE2D2K1-ZZlw,1680000,Sargam Kids Kannada,19686.8,196868,1
UCPSb5hoJuGd_M421vocSM2A,1680000,Warangal Diaries,399695.5,3996955,1
UCA_NIJLe2dNnL4J8M3wrsig,1680000,Kannada Comedy Scenes,701550.9,7015509,4
UCWSyWK6oS5VL3RrJZuWsdSA,1680000,Telugu Knowledge,38010.9,380109,1
UCqP3RpStZoM6USp_m07Vk8A,1680000,Prophet Yousuf - Joseph The Prophet,720436.1,7204361,4
UCEMCpeC8_LHW-vV-Bo6NqKw,1680000,Interesting Engineering,421920.5,4219205,1
UCdNTEJJPjXi9e0GwHma47Iw,1670000,Dark BTS Venom🔥,4519080.7,45190807,6
UCEuiOszNd6msGgqsD0f9YAQ,1670000,Adah Sharma,1791581.3,17915813,2
UCgWVIKK38EXyWPrbVTyaj3A,1660000,Mr Gulua comedy,690455.6,6904556,1
UCG6V6Q8eraAQ4OiaOoQM8eQ,1660000,Madani Channel Urdu Live,1578031.7,15780317,1
UClSEi3DsdBqUv4Uyig2a4DQ,1660000,Sanathan Shree Krishnan,517520.1,5175201,1
UCuUocUAnPTUkwGtC8GuNKow,1660000,HIA Entertainment,0,0,1
UCsQabXg6YSgHIjSSis-tafA,1660000,Achurjya Borpatra Official,1238478.2,12384782,4
UC0G5fSABTHvSIbCMnqOzB8A,1660000,Salman Creation,476150.6,4761506,1
UCUHmHEeWjiTqiHvyeMYk9vg,1650000,Adithya TV,3546908.6,35469086,1
UC2a8EyBbqn9G84MiGS8KCzw,1650000,Ultra Bengali,22570773.9,225707739,14
UCx2NCyudktBrTSdgvlY3weg,1650000,Punjabi Filmi Station,1064575,10645750,9
UCukUk9Eafoo4XHk4JZjoh8Q,1650000,Nikhil Kamath,174557.2,1745572,1
UCY4LAw90QUoy1UxzgnSMPCQ,1640000,ComicsYotros Pormenores,616350.8,6163508,2
UCnC8SAZzQiBGYVSKZ_S3y4Q,1640000,KEEZ WORLD,28031.3,280313,1
UCTwBxcpSyuPT6MrVHHvOnug,1640000,Noushad Baqavi Official,225804,2258040,1
UCXgZSDZ5UfzBpPz6KrtP65w,1640000,Yaarvelly Productions,64091.1,640911,1
UCoF3_0B8v2HBnP0adZmFk3g,1640000,Tamil Hollywood Times,190043.2,1900432,1
UCZH-JXxE34bli1n3UTQGBQg,1640000,Multiverse Entertainment,34002040.6,340020406,3
UCGR1yjrScqezllTc2gsAIuA,1640000,Bong Eats,13603.1,136031,2
UCH-myAoBk9CKW452IZpPhyw,1640000,Sidimania Infotainment,670503.8,6705038,2
UCYLAf7WuBy6y64RewvwGjoQ,1630000,Malayalam Fairy Tales,287126.8,2871268,2
UCH9u_cr7-f9yMrScq8od4Rw,1630000,NAV Records,450687.7,4506877,1
UCpgNcVasyNnfN9IXipiY8RA,1630000,GMJ - Global Music Junction - Odia,67024.4,670244,1
UCO4-4FzI3eyl1SgZKtyK9DQ,1620000,TVNXT Telugu,56290007.8,562900078,1
UCYzsLHAKvutfm9nytrQc3Mw,1620000,BlAcK hUndEr 45🖤,13442811.6,134428116,9
UCIz42pf8TnHm8K_exdtTA_Q,1620000,UV Creations,278443.9,2784439,1
UCm4B3lHMWrFQBwEZAj3wxmA,1620000,SR Music Official,1269761.4,12697614,6
UCmse5JbKneJqVyerfhDVYvQ,1610000,nishi tiwari,1759580.7,17595807,7
UC10fimuLkS9foolVzI2MpRw,1610000,Kannada Movie Junction,12508090.2,125080902,2
UC8238GT1G2CmJ9bsmKpL-jw,1610000,Viral Hindi Hits,655501.5,6555015,1
UC1-kVCePEK9O0fi4W5iZzIw,1610000,Bravo HD Movies,264008.8,2640088,1
UChTLdmBYlKXE0KOo_DEyUeA,1610000,Movie Junction,1171011,11710110,1
UCI4R-QyfBZUHbaTMT_tqaWg,1610000,Bhojpuri Filmistaan,617564.5,6175645,2
UCmV_DjFnpmDHLUTZL6D4RTQ,1610000,Lokdhun Virsa,112262.7,1122627,1
UC4e6uO3xEv9yyCxq5Jl3CSQ,1610000,Toon Story Saga - By SRGV 🚂,5787781,57877810,2
UCr6QhX5ygzFLzrhoM8P_G_Q,1610000,Old Telugu Songs,283906,2839060,2
UCnw8VSv2dpitq5WneisxBCg,1610000,Kaizzzzlol,46689.8,466898,1
UCEII-OnIwBOdyTpvYcAjEIA,1610000,Sunil World,4721.2,47212,1
UC8OoqY95p2mtzg7M5Q5fqpQ,1610000,Urmila Nimbalkar,535121,5351210,1
UC-v2u0YX-izEXVcs0lAIERQ,1600000,FirstCry Parenting,1997789.2,19977892,1
UCicwq1EAuUnic2Yxj3yiKgA,1600000,Akhand Bharat,49294.7,492947,1
UCam4pU1NFraGs5Ng_SS9h9Q,1600000,Rishabh Bidhuri,271592.7,2715927,4
UCcuHOd8cEpryG4crwo6mi7Q,1600000,SuperSuper,107832.6,1078326,1
UCSvQIaXSik2emJ83jlwvQLQ,1600000,Jai Maharashtra News,554156.2,5541562,2
UCv6JhmcvEtUN8EYKJSrbo7w,1590000,Dream Warrior Pictures,5663.8,56638,1
UCmBLIcqOLWwrrAJ-jaCttqw,1590000,Super Good Studios,131,1310,1
UCbpjEr8lHlnkf1SQ5tnDEYw,1590000,Mr. GK,11995412.8,119954128,1
UCp9bMrvSYUvywxpDndF3l1Q,1590000,P. J. STEPHEN PAUL,13095.7,130957,1
UC5cY198GU1MQMIPJgMkCJ_Q,1590000,Sanju Techy Vlogs,188195.2,1881952,1
UCXIihEp_5LoTJ0jUoa2JaVw,1590000,Neelkamal Singh Remix,1108942.2,11089422,3
UCtHCRF5bNn_ImDkn4w47L4Q,1590000,The Asstag,13191.8,131918,1
UCcklBsAOUuK-kTSAojIw5Nw,1590000,Laksh Dadwani,22131170.2,221311702,1
UCNkivqvTLBc1THA_dG2K7-A,1580000,HPN Marathi News,9359.6,93596,1
UCnrg4Zr9kETQWSyChs6WJyg,1580000,Viishu Bhandari,3331339,33313390,2
UCM1WvTPah9aDYJjrcAGN8dA,1580000,Neel Akash Das,91416,914160,1
UCammppge66hxWDgCMsGlCsg,1580000,ABHI KA REVIEW,5796705.6,57967056,1
UCw8KhLom_CmHSEW_cCGpN2w,1580000,SHEF,11414501.7,114145017,5
UCPWqbr91cfbtLHZrHM5GItg,1580000,Erkenci Kuş - Pehla Panchi,54195.4,541954,1
UCu7Ld2o0QnLPm4j0gCn7Agw,1580000,CGTN Europe,728771,7287710,1
UCOzGl2wthAvoiCdo_ipNMDg,1580000,Awadhesh Premi Entertainment,7646570.3,76465703,6
UCj0TppyxzQWm9JbMg3CP8Rg,1580000,Renu Nishad,1697221.8,16972218,3
UCf14UqMUlXrLyMsTmpGzk9g,1570000,Sargam Kids Tamil,184871.2,1848712,2
UC2N1ufTISt-teWonNBomGkQ,1570000,Sharp Tamil Gaming,4820.7,48207,1
UCfbTjeLbY49IrOPf3TiwMZQ,1570000,movkidz,1453156.7,14531567,4
UCjvNWB4Zw5AeOxDKP7WM9Ng,1570000,Babithababi,83825.2,838252,3
UC1pB7niTEKEl8r-Znj2r1_g,1570000,Amma Devotional,588293.4,5882934,2
UCd4B3p421zEIwEmSyQbgsWw,1570000,Aishwarya Patekarr,2322520.5,23225205,4
UCNc5QKnJ8vyGhed6tC2h1DA,1570000,Flavours Of My Kitchen,959785.1,9597851,1
UCUyAXXBNoMRxfrBXcONsJ_Q,1570000,Turkish Dramas Hindi,106216,1062160,3
UCRhwHpiFZEOIx3cu-JsYJ7A,1560000,John Wesly Ministries,8337554.2,83375542,2
UCQyt2Cf64UPYGwAriwn3i1w,1560000,Bolly Comedy,2562713.7,25627137,6
UCMgbYmq6I5zcQUiCN-k_pFA,1560000,Pagali Neha Comedy,45649.7,456497,1
UCHWSrDpMzvTbSvZAAd5Esuw,1560000,Dhananjay Dhadkan Entertainment,195447.9,1954479,1
UCYWGZWlhe4XpI1lnHEJXzpQ,1560000,Ultra 4K Movies,1514312.2,15143122,1
UCDz28ceVM_YzTU_701yZVQQ,1550000,Shweta Garg (Model),266371.1,2663711,1
UCh7chdVHhcQmzQgZopUrbxQ,1550000,pratapgarhiyabhaujiOfficial,14008.7,140087,1
UCRhtVmW2YtMX311sCmPl7Nw,1550000,Kairali News,1072812.7,10728127,3
UC3cgInE-Un_fa2rqTx5RRhA,1550000,Revol,7614069.5,76140695,5
UCnEvxaWfVL91XIYuyQRO5QA,1550000,PLAY KANNADA,0,0,1
